labels,Chicago,Central,Far North Side,Far Southeast Side,Far Southwest Side,North Side,North West Side,South Side,Southwest Side,West Side
0-12,228039,4122,33738,19571,15667,19198,25607,20837,45048,44251
13-24,233392,8338,33122,19160,15366,22917,23815,23608,39694,47372
25-39,355410,25180,63756,16938,14273,61852,34240,24811,44033,70327
40-54,256440,10946,50682,19166,17796,26593,28772,22505,36721,43259
55-69,160737,9099,30707,13949,12189,14067,17809,16670,21380,24867
70 and over,74054,4275,14717,8350,6664,5699,7039,8313,9418,9579
