labels,Chicago,Far North Side,Central,Far North Side,Far Southeast Side,Far Southwest Side,North Side,North West Side,South Side,Southwest Side,West Side
india,29948,12667,5791,12667,30,118,3465,999,2163,272,4443
china,42060,5113,3737,5113,25,129,2144,510,22492,5456,2454
philippines,29664,13292,1706,13292,136,239,3248,7096,697,928,2322
korea,11422,4339,2207,4339,12,41,1806,434,1018,56,1509
mexico,578100,59777,3251,59777,29459,15981,44094,91253,10199,197238,126848
puerto rico,102703,10671,891,10671,2104,1471,18686,33251,1660,8508,25461
guatemala,17973,5054,92,5054,161,172,2684,6267,155,1682,1706
ecuador,15466,4579,239,4579,31,51,3014,5138,120,898,1396
