labels,Chicago,Central,Far North Side,Far Southeast Side,Far Southwest Side,North Side,North West Side,South Side,Southwest Side,West Side
0-12,222345,4268,32829,19444,15377,18662,25164,20386,43342,40754
13-24,238614,10871,33225,20045,16004,26741,22417,24785,38797,43643
25-39,360649,26135,60419,20807,16783,60869,32433,31355,44375,64994
44-54,259928,11307,44664,23565,20868,23057,28238,28242,37301,40512
55-69,187182,10936,32585,20197,15866,15122,19594,21769,23646,26113
70 and over,118808,5680,23260,14175,11135,8431,11466,14639,15218,13984
