labels,Chicago,Rogers Park,West Ridge,Uptown,Lincoln Square,North Center,Lake View,Lincoln Park,Near North Side,Edison Park,Norwood Park,Jefferson Park,Forest Glen,North Park,Albany Park,Portage Park,Irving Park,Dunning,Montclare,Belmont Cragin,Hermosa,Avondale,Logan Square,Humboldt Park,West Town,Austin,West Garfield Park,East Garfield Park,Near West Side,North Lawndale,Soth Lawndale,Lower West Side,Loop,Near South Side,Armour Square,Douglas,Oakland,Fuller Park,Grand Bouevard,Kenwood,Washington Park,Hyde Park,Woodlawn,South Shore,Chatham,Avalon Park,South Chicago,Burnside,Calumet Heights,Rose Heights,Pullman,South Deering,East Side,West Pullman,Riverdale,Hegewisch,Garfield Range,Archer Heights,Brighton Park,McKinley Park,Bridgeport,New City,West Elsdon,Gage Park,Clearing,West Lawn,Chicago Lawn,West Englewood,Englewood,Greater Grand Crossing,Ashburn,Auburn Gresham,Beverly,Washington Heights,Mount Greenwood,Morgan Park,O'Hare,Edgewater
0-12,222345,3975,6783,2770,2565,2604,3639,3121,2397,862,2780,1870,1652,1340,4797,5279,4583,2945,1159,8473,2725,3604,5694,6090,4791,9193,1866,2119,2827,3930,8596,3461,678,1193,774,1019,643,215,1893,1279,1362,1144,2270,4172,2361,721,3032,258,909,3736,645,1465,2569,2822,926,787,2903,1382,5534,1551,2421,5324,2004,5017,2052,3757,6404,3478,3149,3194,4048,4245,1730,1953,1613,1788,823,2612
13-24,238614,5417,5385,3486,2198,1449,8285,7726,5647,664,2076,1661,1090,1453,4556,4894,3811,2881,1062,7297,2472,3221,6060,5881,5772,9804,2006,2086,5903,3982,6900,3395,4254,970,1060,1850,581,270,1878,1403,1382,3233,2779,4523,2551,806,3101,251,970,4462,606,1343,2115,3010,830,698,2618,1239,4366,1356,2648,4559,1656,4214,1765,3111,5988,3751,3476,3178,3693,4752,1443,2327,1827,1962,668,4571
25-39,360649,7832,8049,9581,7682,6838,22483,12568,16391,1130,3396,2823,1420,1739,6796,7307,7344,4273,1431,9104,2974,5386,13594,6681,17994,10361,1835,2479,10958,4067,8371,4727,5060,4684,1305,2211,892,262,3024,2415,1569,3579,3154,5782,2954,887,3265,296,1121,3988,768,1484,2358,2830,856,902,3404,1604,5310,1891,3759,5010,2167,4561,2688,3919,6234,3461,3224,3403,4128,4813,1686,2391,1774,1991,1877,8094
44-54,259928,5115,7289,4978,3898,2883,5920,4888,7228,1353,4232,2886,2316,1722,4489,7113,5509,4623,1319,7399,2275,3408,5958,5427,5825,11010,1978,2174,4158,3698,5595,2821,2069,2010,1493,1734,718,273,2489,1991,1344,2173,2822,6047,3898,1264,3177,284,1575,4934,860,1621,2149,3138,665,937,3613,1098,3749,1523,3440,3834,1589,3282,2328,2942,5522,3659,3225,3718,4914,5512,2554,2990,2183,2715,1186,5200
55-69,187182,3274,5415,3438,2474,1576,4221,3592,7410,951,3342,2241,1817,1556,2845,5088,3573,3856,1115,4564,1398,2321,3412,3422,3330,8597,1181,1354,2621,2273,3053,1636,1950,1576,1182,1682,425,282,1846,1875,649,1968,2101,4648,3298,1170,2672,292,1724,4278,729,1381,1390,2905,358,757,2734,737,2003,956,2378,2094,1008,1626,1711,1796,3337,2752,2135,2733,2911,4630,2111,2733,1323,2158,1060,4172
70 and over,118808,1626,3499,2597,1367,960,2820,1791,4074,860,3675,1674,1279,1472,1652,3106,1865,2850,748,2297,600,1203,1657,1549,2077,4360,833,820,1440,1445,1378,902,808,798,1127,1329,219,183,1343,1263,353,1361,1290,2783,2565,907,1706,249,1377,3340,455,877,1071,1445,183,648,2449,560,1039,508,1345,1165,681,717,1295,1107,1448,1936,1665,2043,1697,3368,952,2419,977,1722,721,2838
