labels,Chicago,Rogers Park,West Ridge,Uptown,Lincoln Square,North Center,Lake View,Lincoln Park,Near North Side,Edison Park,Norwood Park,Jefferson Park,Forest Glen,North Park,Albany Park,Portage Park,Irving Park,Dunning,Montclare,Belmont Cragin,Hermosa,Avondale,Logan Square,Humboldt Park,West Town,Austin,West Garfield Park,East Garfield Park,Near West Side,North Lawndale,Soth Lawndale,Lower West Side,Loop,Near South Side,Armour Square,Douglas,Oakland,Fuller Park,Grand Bouevard,Kenwood,Washington Park,Hyde Park,Woodlawn,South Shore,Chatham,Avalon Park,South Chicago,Burnside,Calumet Heights,Rose Heights,Pullman,South Deering,East Side,West Pullman,Riverdale,Hegewisch,Garfield Range,Archer Heights,Brighton Park,McKinley Park,Bridgeport,New City,West Elsdon,Gage Park,Clearing,West Lawn,Chicago Lawn,West Englewood,Englewood,Greater Grand Crossing,Ashburn,Auburn Gresham,Beverly,Washington Heights,Mount Greenwood,Morgan Park,O'Hare,Edgewater
0-12,228039,4028,6938,2909,2626,2654,3785,3127,2378,908,2765,1893,1726,1371,4980,5306,4558,3105,1262,8587,2789,3666,5966,6249,5033,9454,1861,2077,2926,4168,8941,3542,606,1138,801,976,671,258,1983,1289,1403,1139,2407,4233,2288,752,3137,270,922,3777,647,1510,2515,2820,933,891,2917,1501,5816,1574,2476,5705,2072,5292,2124,3880,6428,3640,3208,3201,4120,4266,1808,2039,1650,1784,901,2693
13-24,233392,4870,5647,3438,2238,1355,6417,5745,4167,659,2285,1674,1151,1606,4981,5164,4027,3069,1091,7960,2504,3553,5847,5786,5221,9183,1978,2099,5250,3833,10223,3799,3288,883,1245,2228,456,256,1719,1274,1136,3130,2638,3820,2389,750,2887,267,979,3980,638,1391,2266,2860,753,807,2652,1324,4870,1415,2897,4682,1726,4390,1769,3272,5734,3820,3233,2809,3832,4225,1504,2235,1664,1906,665,3908
25-39,355410,8440,8285,10693,7195,6388,22855,11853,14939,1051,3193,2793,1290,1726,7653,7442,7830,4504,1501,9842,3121,6270,14486,6122,19417,8552,1428,1988,11259,3006,12928,5627,5866,4375,1261,1915,454,228,1936,1747,942,3537,2202,4159,2337,715,2560,216,967,3185,623,1203,2447,2293,392,873,3506,1740,5721,1972,4035,5100,2249,5069,2661,4211,5974,2731,2226,2395,3812,3503,1523,1798,1969,1668,2112,9325
40-54,256440,6124,7312,7185,3993,3156,8025,5013,6607,1332,4205,2969,2207,1634,5014,6977,5823,4684,1343,7511,2434,3865,6534,4963,7023,8959,1578,1823,4187,2881,8556,3289,2297,2042,1366,1344,461,261,1819,1407,875,1895,2184,4648,2926,992,2669,241,1304,4127,598,1296,2187,2498,328,1031,3638,1197,4184,1519,3383,4013,1618,3492,2442,2975,4927,3183,2502,2862,4297,4268,2275,2468,2228,2260,1382,7325
55-69,160737,3170,4986,3704,2313,1443,4086,3298,6039,880,3120,1963,1651,1366,2736,4658,3235,3427,925,4256,1308,2025,3215,3109,3506,6502,986,1116,2448,1786,3580,1834,1794,1266,1019,1245,288,244,1300,1201,519,1649,1478,3415,2171,705,1907,186,1095,2909,477,994,1315,2021,169,708,2578,702,2040,984,2274,2113,942,1679,1540,1674,2716,1978,1726,2038,2542,3142,1792,1753,1338,1622,884,3934
70 and over,74054,1120,2354,1583,944,561,1832,1394,3207,537,1954,1001,909,946,1043,1790,1201,1715,470,1453,410,740,1172,1044,1443,2539,471,432,904,843,1167,736,613,455,758,705,110,144,699,697,183,873,658,1537,1290,516,1085,106,869,1903,279,544,660,1009,89,387,1501,309,736,363,921,778,397,555,764,711,916,1116,885,1028,1087,2019,656,1387,547,968,477,1849
