district,Asia,Mexico and Territories,Central American,South American,Other Hispanic Areas
Central,15900,7186,332,1353,817
Far North Side,55519,95313,7945,9728,4322
Far Southeast Side,296,33382,554,156,927
Far Southwest Side,662,18765,373,268,496
North Side,13434,77734,4428,5749,2768
North West Side,10764,150399,10173,9228,4108
South Side,27883,14227,469,687,787
Southwest Side,7190,215899,3267,1861,4439
West Side,12545,165957,3722,3099,4935
Chicago,144193,778862,31263,32129,23599
