district,white,black,hispanic,asian,other
Central,86673,18108,7186,16105,3085
Far North Side,242305,46990,95313,56400,12696
Far Southeast Side,6539,172497,33382,258,2691
Far Southwest Side,41177,115294,18765,651,2101
North Side,193958,12046,77734,13496,5974
North West Side,104988,6748,150399,10503,3956
South Side,32785,177740,14227,28030,5138
Southwest Side,61168,111974,215899,6964,2968
West Side,85124,210889,165957,12496,6221
Chicago,854717,872286,778862,144903,44830
