labels,Chicago,Rogers Park,West Ridge,Uptown,Lincoln Square,North Center,Lake View,Lincoln Park,Near North Side,Edison Park,Norwood Park,Jefferson Park,Forest Glen,North Park,Albany Park,Portage Park,Irving Park,Dunning,Montclare,Belmont Cragin,Hermosa,Avondale,Logan Square,Humboldt Park,West Town,Austin,West Garfield Park,East Garfield Park,Near West Side,North Lawndale,Soth Lawndale,Lower West Side,Loop,Near South Side,Armour Square,Douglas,Oakland,Fuller Park,Grand Bouevard,Kenwood,Washington Park,Hyde Park,Woodlawn,South Shore,Chatham,Avalon Park,South Chicago,Burnside,Calumet Heights,Rose Heights,Pullman,South Deering,East Side,West Pullman,Riverdale,Hegewisch,Garfield Range,Archer Heights,Brighton Park,McKinley Park,Bridgeport,New City,West Elsdon,Gage Park,Clearing,West Lawn,Chicago Lawn,West Englewood,Englewood,Greater Grand Crossing,Ashburn,Auburn Gresham,Beverly,Washington Heights,Mount Greenwood,Morgan Park,O'Hare,Edgewater
India,29948,740,5391,733,504,215,1482,1100,3279,48,255,188,310,917,1579,250,408,158,48,110,25,223,445,34,835,82,1,10,3328,22,24,107,1725,787,175,840,9,0,10,216,2,576,134,18,1,4,8,0,1,0,0,2,13,1,0,9,44,2,40,20,183,29,14,13,35,39,24,2,1,0,56,1,13,1,23,24,438,1564
China,42060,503,1299,783,371,165,926,700,1516,24,233,163,224,297,289,154,192,81,4,63,16,89,264,41,360,111,2,18,1759,25,52,86,1011,1210,9248,918,11,4,16,335,5,1503,237,16,8,0,2,0,1,4,0,1,7,2,0,4,89,112,2047,2336,10197,592,135,34,44,39,18,3,3,2,65,5,36,2,11,10,52,875
Philippines,29664,632,2082,1077,1506,562,1189,414,798,106,798,911,670,1028,2829,2014,2213,1125,299,1216,229,594,489,159,777,277,7,25,917,16,50,94,456,452,90,136,5,0,12,55,3,144,31,22,12,6,37,0,23,8,1,14,29,6,0,18,193,24,113,50,190,37,71,67,82,116,123,7,27,9,105,15,29,7,64,19,249,1404
Korea,11422,183,673,724,429,183,725,465,1099,32,81,90,211,843,648,146,218,37,9,17,7,97,336,16,481,44,0,10,875,6,13,64,739,369,28,220,1,2,8,179,0,440,67,13,1,0,1,0,0,3,3,0,4,0,0,5,10,0,7,10,60,4,4,0,9,2,3,2,0,0,8,1,11,2,12,7,37,388
Mexico,578100,10268,10061,4665,4212,2403,3675,1677,1635,448,2249,2545,1038,1633,16119,13673,14093,5203,4417,41232,12635,16192,20147,16401,12312,4679,118,363,3248,1512,60979,27236,1003,613,352,236,51,112,180,229,23,815,219,400,147,65,5722,7,395,206,456,4382,16672,1307,100,4155,12050,9319,36136,9187,7398,22995,13268,33419,8574,24616,22863,515,141,184,13501,227,599,131,1099,424,529,6010
Puerto Rico,102703,869,1245,957,875,787,1088,684,504,214,1183,1220,383,479,2083,5774,4462,2777,1791,12110,6337,4465,11662,10601,8697,2633,141,324,654,378,1229,804,240,147,33,100,22,10,127,94,39,151,88,240,83,55,508,11,93,132,49,244,830,81,18,313,835,340,983,429,632,933,481,926,903,988,1094,171,112,124,904,108,122,76,147,114,334,829
Guatemala,17973,384,668,468,568,180,223,88,42,24,125,224,92,156,1879,1231,1433,480,261,2137,725,1131,1062,618,244,265,7,16,54,22,328,152,34,16,1,3,0,2,7,9,0,27,8,0,2,0,62,0,2,1,21,12,50,10,1,25,83,119,225,47,89,263,166,279,75,221,172,6,1,9,121,17,11,3,10,10,48,418
Ecuador,15466,136,371,444,262,174,173,71,204,19,168,178,94,197,2448,1166,1364,313,144,1735,416,1448,1148,312,514,157,7,2,75,18,129,182,19,16,2,8,0,0,0,3,0,19,15,4,3,0,3,0,0,8,1,6,10,0,0,5,87,56,151,49,62,30,71,153,80,142,72,0,2,7,33,3,14,0,0,1,49,213
