community,group,0-12,13-24,25-39,40-54,55-66,70+
East Garfield Park,Asian,11,13,45,12,8,1
East Garfield Park,Other,70,50,121,35,17,7
East Garfield Park,Latino,237,126,302,122,47,16
Near West Side,White,1632,4541,12746,3989,2191,610
Near West Side,Black,2965,3692,3639,3322,2366,1520
Near West Side,Asian,536,2049,4508,589,270,126
Near West Side,Other,231,447,689,268,155,49
Near West Side,Latino,700,1085,1888,808,398,169
North Lawndale,White,227,210,388,256,133,37
North Lawndale,Black,7456,7308,6288,6046,3789,2185
North Lawndale,Asian,11,10,32,15,9,2
North Lawndale,Other,262,175,249,177,89,36
North Lawndale,Latino,592,376,564,378,171,63
South Lawndale,White,7757,6475,8824,5688,3218,1387
South Lawndale,Black,755,2952,3446,2607,707,296
South Lawndale,Asian,38,27,51,36,17,10
South Lawndale,Other,8155,7012,8166,5285,2440,774
South Lawndale,Latino,16670,13615,16787,10874,5530,1981
Lower West Side,White,2873,3202,5047,2896,1836,966
Lower West Side,Black,241,270,421,225,144,55
Lower West Side,Asian,32,84,214,58,20,11
Lower West Side,Other,3387,3278,4113,2643,1331,559
Lower West Side,Latino,6615,5951,7678,5170,2817,1255
Loop,White,718,5234,6848,3055,2820,956
Loop,Black,123,945,873,728,491,272
Loop,Asian,242,878,2612,411,357,177
Loop,Other,40,188,232,86,21,6
Loop,Latino,144,554,849,315,116,32
Near South Side,White,998,838,5509,2140,1291,199
Near South Side,Black,733,651,1412,1348,1166,783
Near South Side,Asian,346,268,1675,457,339,245
Near South Side,Other,52,38,186,56,19,4
Near South Side,Latino,185,114,593,209,77,24
Armour Square,White,154,324,504,377,269,255
Armour Square,Black,206,285,203,254,244,230
Armour Square,Asian,1149,1625,1740,2182,1663,1383
Armour Square,Other,18,29,71,24,11,6
Armour Square,Latino,74,92,145,89,35,29
Douglas,White,58,1063,440,178,154,88
Douglas,Black,1767,1822,2515,2716,2655,1879
Douglas,Asian,92,1028,1013,95,60,28
Douglas,Other,17,24,54,35,5,3
Douglas,Latino,60,150,132,80,28,15
Oakland,White,20,2,57,36,19,5
Oakland,Black,1248,1011,1248,1103,674,319
Oakland,Asian,2,4,11,13,4,1
Oakland,Other,10,4,6,8,4,0
Oakland,Latino,25,8,24,18,10,2
Fuller Park,White,13,15,11,14,11,2
Fuller Park,Black,421,483,444,495,503,316
Fuller Park,Asian,1,1,2,0,0,3
Fuller Park,Other,29,21,29,15,3,1
Fuller Park,Latino,39,29,34,20,8,2
Grand Boulevard,White,65,26,216,123,29,16
Grand Boulevard,Black,3651,3471,4565,4078,3049,1985
Grand Boulevard,Asian,9,2,32,10,5,1
Grand Boulevard,Other,19,8,48,13,6,6
Grand Boulevard,Latino,90,67,128,70,24,16
Kenwood,White,346,506,891,524,577,307
Kenwood,Black,1921,1805,2650,2636,2373,1578
Kenwood,Asian,115,223,424,124,54,35
Kenwood,Other,42,15,67,29,13,10
Kenwood,Latino,101,109,188,83,44,17
Washington Park,White,11,27,23,20,12,3
Washington Park,Black,2706,2455,2436,2169,1145,528
Washington Park,Asian,0,3,8,1,0,0
Washington Park,Other,5,2,8,4,1,0
Washington Park,Latino,37,15,27,19,6,0
Hyde Park,White,953,3711,3738,1636,1700,1143
Hyde Park,Black,698,1112,1734,1818,1644,915
Hyde Park,Asian,285,1002,1170,440,185,125
Hyde Park,Other,57,181,182,60,12,13
Hyde Park,Latino,218,559,537,188,83,41
Woodlawn,White,146,825,536,239,132,22
Woodlawn,Black,4332,4081,4514,4615,3374,1895
Woodlawn,Asian,33,316,146,51,22,6
Woodlawn,Other,12,54,47,24,8,4
Woodlawn,Latino,95,206,131,59,29,23
South Shore,White,72,67,165,161,189,116
South Shore,Black,8042,8038,9484,10304,7696,4123
South Shore,Asian,3,17,31,24,22,6
South Shore,Other,44,52,77,33,25,7
South Shore,Latino,254,163,212,119,65,41
Chatham,White,16,16,42,33,28,17
Chatham,Black,4515,4844,5138,6686,5364,3776
Chatham,Asian,0,0,2,10,11,4
Chatham,Other,19,10,29,14,5,9
Chatham,Latino,89,56,78,43,28,17
Avalon Park,White,14,15,22,14,17,18
Avalon Park,Black,1397,1490,1543,2178,1824,1379
Avalon Park,Asian,0,1,2,7,2,7
Avalon Park,Other,11,20,5,8,2,3
Avalon Park,Latino,41,34,23,30,14,11
South Chicago,White,571,501,600,663,613,473
South Chicago,Black,4649,4667,4302,4463,3458,2045
South Chicago,Asian,11,7,23,15,12,10
South Chicago,Other,740,663,761,563,385,203
South Chicago,Latino,1466,1258,1413,1196,892,549
Burnside,White,0,3,3,4,2,8
Burnside,Black,522,509,502,513,469,345
Burnside,Asian,0,0,0,0,0,0
Burnside,Other,0,0,1,0,0,1
Burnside,Latino,8,2,6,0,3,1
Calumet Heights,White,51,38,47,60,61,81
Calumet Heights,Black,1690,1833,1929,2731,2678,2124
Calumet Heights,Asian,2,3,6,6,6,3
Calumet Heights,Other,40,39,66,44,43,19
Calumet Heights,Latino,107,93,115,106,83,65
Rose Heights,White,29,56,39,51,43,36
Rose Heights,Black,7306,8231,7001,8887,7078,5155
Rose Heights,Asian,2,4,4,8,2,7
Rose Heights,Other,12,29,18,28,12,9
Rose Heights,Latino,136,106,93,68,35,20
Pullman,White,76,75,154,170,213,98
Pullman,Black,1122,1100,1173,1215,941,616
Pullman,Asian,0,1,0,1,4,1
Pullman,Other,51,47,46,48,33,12
Pullman,Latino,126,106,112,101,90,36
South Deering,White,483,477,497,530,457,420
South Deering,Black,1828,1727,1562,1910,1606,849
South Deering,Asian,2,3,5,3,5,2
South Deering,Other,564,458,556,401,252,124
South Deering,Latino,1096,945,1029,821,571,347
East Side,White,2286,2002,2350,2503,1877,1430
East Side,Black,266,230,188,147,68,12
East Side,Asian,14,12,23,11,16,2
East Side,Other,2145,1902,2025,1482,660,259
East Side,Latino,4563,3829,4066,3289,1648,681
West Pullman,White,119,87,131,109,97,69
West Pullman,Black,5208,5528,4697,5289,4699,2321
West Pullman,Asian,2,2,2,5,3,1
West Pullman,Other,178,173,204,147,76,35
West Pullman,Latino,376,290,363,264,155,61
Riverdale,White,14,8,15,16,7,3
Riverdale,Black,1811,1540,1201,949,510,265
Riverdale,Asian,0,0,0,2,0,0
Riverdale,Other,11,20,16,13,8,2
Riverdale,Latino,34,26,30,23,14,5
Hegewisch,White,951,895,1125,1512,1253,956
Hegewisch,Black,119,87,105,55,29,18
Hegewisch,Asian,9,16,13,11,11,3
Hegewisch,Other,462,426,464,324,143,50
Hegewisch,Latino,1186,972,1080,846,398,189
Garfield Range,White,3903,3678,4888,5743,4407,3392
Garfield Range,Black,300,395,301,415,372,355
Garfield Range,Asian,64,56,81,78,60,46
Garfield Range,Other,1292,976,1421,864,397,125
Garfield Range,Latino,3444,2533,3549,2360,1157,472
Archer Heights,White,1377,1237,1676,1333,1022,755
Archer Heights,Black,35,48,48,32,8,4
Archer Heights,Asian,16,24,40,36,26,3
Archer Heights,Other,1310,1142,1448,803,356,91
Archer Heights,Latino,2640,2146,2815,1630,723,228
Brighton Park,White,5069,3914,4833,3758,2233,1261
Brighton Park,Black,226,180,210,137,58,7
Brighton Park,Asian,357,396,492,548,388,114
Brighton Park,Other,5139,4357,5014,3177,1240,351
Brighton Park,Latino,10528,8305,9859,6411,2718,872
Mckinley Park,White,1402,1233,1821,1402,1076,598
Mckinley Park,Black,78,70,98,60,10,4
Mckinley Park,Asian,388,381,592,607,391,123
Mckinley Park,Other,1082,973,1210,871,412,135
Mckinley Park,Latino,2469,1997,2556,1798,959,332
Bridgeport,White,1963,2255,3781,3108,2454,1475
Bridgeport,Black,126,158,239,99,75,43
Bridgeport,Asian,1571,2038,2374,2763,1732,617
Bridgeport,Other,945,856,1135,714,327,106
Bridgeport,Latino,2101,1753,2239,1498,705,331
New City,White,3542,2618,3460,2717,1515,811
New City,Black,3052,3169,2500,2475,1527,760
New City,Asian,162,110,196,186,94,21
New City,Other,3867,3036,3593,2201,947,311
New City,Latino,7198,5299,6406,4058,1785,685
West Elsdon,White,2065,1759,2360,1899,1416,932
West Elsdon,Black,79,71,81,58,18,4
West Elsdon,Asian,31,41,58,60,43,14
West Elsdon,Other,1717,1384,1758,1071,420,111
West Elsdon,Latino,3793,2923,3818,2422,1063,295
Gage Park,White,4576,3516,4182,3070,1791,831
Gage Park,Black,508,498,498,487,319,97
Gage Park,Asian,23,22,42,38,23,6
Gage Park,Other,4800,4202,4520,2925,1075,309
Gage Park,Latino,9705,7946,8878,5894,2439,727
Clearing,White,2774,2499,3804,3814,2881,1937
Clearing,Black,81,83,90,67,17,4
Clearing,Asian,37,39,62,51,31,17
Clearing,Other,1001,759,1206,706,270,80
Clearing,Latino,2844,1929,2950,1722,773,266
West Lawn,White,3913,3293,4292,3413,2311,1452
West Lawn,Black,285,293,337,300,170,127
West Lawn,Asian,32,29,65,41,52,13
West Lawn,Other,3050,2511,3116,1941,828,192
West Lawn,Latino,7044,5538,7072,4506,1972,537
Chicago Lawn,White,2975,2279,2977,2220,1466,836
Chicago Lawn,Black,5741,6109,5453,5731,3521,1251
Chicago Lawn,Asian,17,37,41,43,51,17
Chicago Lawn,Other,3639,2947,3377,2186,891,224
Chicago Lawn,Latino,6936,5376,6344,4166,1811,508
West Englewood,White,61,33,73,70,36,19
West Englewood,Black,6847,7341,5933,6649,4628,2999
West Englewood,Asian,6,4,7,4,2,0
West Englewood,Other,73,82,103,51,24,7
West Englewood,Latino,203,180,198,118,53,22
Englewood,White,19,31,32,43,25,25
Englewood,Black,6238,6594,5325,5592,3769,2485
Englewood,Asian,2,3,19,4,8,0
Englewood,Other,11,17,14,20,12,8
Englewood,Latino,84,71,57,56,26,31
Greater Grand Crossing,White,49,30,50,59,46,14
Greater Grand Crossing,Black,6175,5842,5659,6399,4662,3023
Greater Grand Crossing,Asian,5,2,0,11,3,0
Greater Grand Crossing,Other,24,25,17,23,7,3
Greater Grand Crossing,Latino,129,70,64,64,45,16
Ashburn,White,2520,2093,2703,2550,2016,1596
Ashburn,Black,3250,3695,3056,5305,2884,1036
Ashburn,Asian,27,40,47,71,75,28
Ashburn,Other,2012,1446,1892,1115,395,101
Ashburn,Latino,4486,2912,4065,2371,995,303
Auburn Gresham,White,24,27,37,41,39,26
Auburn Gresham,Black,8332,8826,8161,9612,7648,5290
Auburn Gresham,Asian,4,1,5,9,6,8
Auburn Gresham,Other,32,25,37,19,11,7
Auburn Gresham,Latino,131,97,103,66,35,27
Beverly,White,2185,1727,1936,2943,2447,1147
Beverly,Black,1135,1069,1148,1740,1386,430
Beverly,Asian,22,15,21,25,21,10
Beverly,Other,43,47,25,40,16,2
Beverly,Latino,267,181,164,188,82,33
Washington Heights,White,19,22,20,38,35,19
Washington Heights,Black,3888,4469,4084,5346,4405,3744
Washington Heights,Asian,1,0,3,2,4,2
Washington Heights,Other,11,11,18,11,6,3
Washington Heights,Latino,60,76,45,42,18,17
Mount Greenwood,White,2962,2954,3383,4056,2503,1482
Mount Greenwood,Black,124,314,231,218,95,30
Mount Greenwood,Asian,25,29,31,28,15,5
Mount Greenwood,Other,56,90,57,56,26,3
Mount Greenwood,Latino,405,348,285,218,105,21
Morgan Park,White,1016,954,1145,1618,1199,848
Morgan Park,Black,2396,2802,2405,3238,2500,1810
Morgan Park,Asian,18,12,15,25,25,2
Morgan Park,Other,26,29,36,34,17,4
Morgan Park,Latino,152,131,122,131,54,29
O'Hare,White,1318,1095,3090,2178,1747,1140
O'Hare,Black,65,41,150,123,33,8
O'Hare,Asian,170,94,500,147,113,37
O'Hare,Other,76,65,156,78,24,5
O'Hare,Latino,248,173,401,228,126,36
Edgewater,White,2702,5006,11269,7867,5200,3531
Edgewater,Black,867,1169,2202,2307,1430,362
Edgewater,Asian,570,1104,2126,1266,989,604
Edgewater,Other,697,789,1098,686,282,85
Edgewater,Latino,1751,1755,2859,1683,876,394
